sample_id,target_stack_compatible,record_count,welding_time_ms,nominal_inclusive_count_at_10hz,count_gap_from_nominal_hypothesis,record_index_strictly_increasing,invalid_current_count,invalid_force_count,current_mean_a,current_rms_a,current_jensen_ratio,force_min_stored,force_mean_positive_stored,force_max_stored
242,True,10,1000.0,11,-1,True,0,0,3534.1639999999998,3557.5626827394062,1.0132852582458747,76.02,76.282,76.59
243,True,11,1000.0,11,0,True,0,0,3407.4400000000005,3443.605748775548,1.021340170952929,75.23,75.57818181818182,76.0
244,True,10,1000.0,11,-1,True,0,0,3661.654,3713.6348086207936,1.0285935089314002,73.97,74.519,75.16
246,True,11,1000.0,11,0,True,0,0,3408.5954545454547,3462.0830562420338,1.0316301922742017,73.35,73.39272727272727,73.42
247,True,11,1000.0,11,0,True,0,0,3267.2218181818184,3320.395080485015,1.0328143948711457,73.38,74.80818181818182,76.31
248,True,11,1000.0,11,0,True,0,0,3323.01,3375.9201246865473,1.0320982190362908,76.44,77.10363636363637,77.46
249,True,11,1000.0,11,0,True,0,0,3233.2654545454543,3293.9169979137987,1.0378690913837,75.67,76.24090909090908,77.06
251,True,10,1000.0,11,-1,True,0,0,3505.9919999999997,3562.150968605907,1.032292569803565,73.25,73.578,74.05
252,True,1,1000.0,11,-10,True,1,1,,,nan,-99.0,,-99.0
254,True,11,1000.0,11,0,True,0,0,3521.495454545455,3559.485406726652,1.021692414938876,73.38,73.72545454545455,73.89
255,True,11,1000.0,11,0,True,0,0,3492.5054545454545,3537.717124777708,1.026058261637052,73.29,73.64454545454545,73.78
256,True,11,1000.0,11,0,True,0,0,3407.3618181818183,3457.2456955632915,1.0294943893721151,73.16,73.26181818181819,73.33
257,True,10,1000.0,11,-1,True,0,0,3657.6950000000006,3676.5362006336886,1.0103287601680289,73.21,73.369,73.53
258,True,11,1000.0,11,0,True,0,0,3579.889090909091,3636.2361008828393,1.0317274954633144,73.3,73.35818181818182,73.45
259,True,11,1000.0,11,0,True,0,0,3537.3254545454547,3591.8442103617317,1.0310623885658052,73.14,73.21181818181817,73.31
261,True,10,1000.0,11,-1,True,0,0,3657.9680000000008,3699.5292369813756,1.022852765790215,73.31,73.422,73.6
262,True,11,1000.0,11,0,True,0,0,3730.938181818182,3770.955871777195,1.0215668558290862,73.46,73.57545454545455,73.75
264,True,11,1000.0,11,0,True,0,0,3666.850909090909,3715.270795266966,1.0265838856677187,73.81,73.91272727272727,74.08
265,True,11,1000.0,11,0,True,0,0,3871.570909090909,3929.2999538617796,1.0300443646311208,73.87,73.95181818181817,74.04
266,True,10,1000.0,11,-1,True,0,0,3868.032,3911.8527242088244,1.0227862362616222,73.85,73.924,74.05
268,True,10,1000.0,11,-1,True,0,0,3963.7050000000004,3987.5358825081435,1.0120606964503083,74.01,74.06,74.17
269,True,10,1000.0,11,-1,True,0,0,3879.197,3917.2565623647884,1.019718651710215,73.94,73.99499999999998,74.09
270,True,10,1000.0,11,-1,True,0,0,3662.9139999999998,3719.558190207541,1.0311676277156452,74.13,74.873,75.71
271,True,10,1000.0,11,-1,True,0,0,3797.8239999999996,3830.8598323613983,1.0174729084113814,75.9,76.973,77.74
272,True,10,1000.0,11,-1,True,0,0,3725.8770000000004,3757.69721454643,1.0171535947608312,77.83,78.33900000000001,78.7
274,True,11,1000.0,11,0,True,0,0,3473.950909090909,3538.425024653046,1.037463058438496,79.39,79.89272727272727,80.22
275,True,11,1000.0,11,0,True,0,0,3821.364545454545,3850.921417031844,1.0155291007052507,79.86,80.0909090909091,80.22
276,True,11,1000.0,11,0,True,0,0,3635.1899999999996,3674.220129413983,1.021588779569737,79.64,79.72090909090907,79.8
278,True,10,1000.0,11,-1,True,0,0,3688.4660000000003,3713.263107871566,1.0134909536052297,79.69,79.744,79.84
279,True,10,1000.0,11,-1,True,0,0,3814.297,3840.724866398269,1.0139052731866303,79.31,79.44500000000001,79.69
282,True,11,1000.0,11,0,True,0,0,3728.4836363636364,3769.130268442696,1.0219221505519338,77.07,77.25090909090909,77.64
283,True,11,1000.0,11,0,True,0,0,3837.1436363636367,3869.9163097575215,1.0171547539695494,76.74,76.8290909090909,77.02
284,True,11,1000.0,11,0,True,0,0,3663.0181818181823,3697.847926262468,1.0191073763305565,76.62,76.67818181818183,76.78
285,True,11,1000.0,11,0,True,0,0,3898.129999999999,3934.1922127038993,1.0185878979407859,76.5,76.55636363636363,76.69
286,True,11,800.0,9,2,True,0,0,3811.7436363636366,3853.722616675041,1.0221474175374594,73.86,74.64272727272727,74.85
287,True,11,800.0,9,2,True,0,0,3842.3072727272724,3879.562229389947,1.0194859836917949,74.58,74.77454545454546,74.87
288,True,11,800.0,9,2,True,0,0,3602.294545454546,3626.7190668977933,1.0136065074808465,74.67,74.7209090909091,74.85
289,True,11,800.0,9,2,True,0,0,3640.05,3676.47570117831,1.0201139851251113,74.59,74.65545454545455,74.79
290,True,11,800.0,9,2,True,0,0,3727.882727272727,3750.0390010856736,1.0119221108415173,74.82,74.95454545454544,75.17
291,True,10,800.0,9,1,True,0,0,3825.6949999999997,3864.207552126309,1.0202349645939943,75.16,75.208,75.27
292,True,11,800.0,9,2,True,0,0,3539.3590909090913,3563.699474250421,1.013801413107405,75.04,75.11090909090909,75.27
294,True,11,800.0,9,2,True,0,0,2730.5554545454547,2749.9521748750467,1.0142576217441759,74.88,74.92272727272729,75.01
